"state","WhiteTotalPerc","BlackTotalPerc","IndianTotalPerc","AsianTotalPerc","HawaiianTotalPerc","OtherTotalPerc"
"Alabama",0.6535822327743978,0.26087174160360094,0.004449918385517139,0.01423930355641292,0.0005072958401345402,0.06635049710639561
"Alaska",0.6070335203979448,0.031028473877033287,0.13791553072260349,0.06417011026321204,0.015503337325316668,0.14434902741388964
"Arizona",0.6320221843707778,0.04635699721250712,0.04083470690048953,0.034371190586914464,0.001985916694413182,0.2444280411327182
"Arkansas",0.70858490099418,0.14908644255024484,0.005570375743986283,0.01559988788683165,0.003970125138080556,0.11718991640974066
"California",0.4395392275780525,0.05538208282793276,0.011345240400786896,0.15281972744044767,0.0037669840072573823,0.3371456165207376
"Colorado",0.7346331037022633,0.04009537462332875,0.010080591728807025,0.032273519688440604,0.0014880988233917365,0.18142999981069635
"Connecticut",0.6756824655744994,0.10692484055191963,0.002659274389650812,0.04750899717926271,0.0005018967026553837,0.16672196979171008
"Delaware",0.6181703401035918,0.219357372225039,0.0037221509737838886,0.04092377742650641,0.0004006481950947936,0.1174276994044956
"District of Columbia",0.3906519918045349,0.4326455669645979,0.0030413091318133734,0.04086573155834359,0.0005624338805408293,0.13223296666016943
"Florida",0.5990596883564611,0.153394287903178,0.0030452507877732123,0.02864425484178413,0.0005990268549722057,0.21525744565390878
"Georgia",0.5245994493005378,0.31338911167371986,0.0038861271783120505,0.04369698593683588,0.0006780256130689483,0.1137489143089461
"Hawaii",0.22506018095791483,0.019188733017902103,0.002652804294291802,0.37271174012893943,0.10308928917296145,0.27729379375224816
"Idaho",0.8334775260127819,0.00745153963978239,0.01137273543548302,0.01319336608038874,0.0016362964136692549,0.13286800823958167
"Illinois",0.6333181277427182,0.13790737983250215,0.005277836866860479,0.05816792329449211,0.00043442293601834124,0.16489123669510822
"Indiana",0.785066686240687,0.09258707380629061,0.002526223070429772,0.025387895915146622,0.0003442580834587294,0.09408815649429295
"Iowa",0.8558558671314229,0.03855954742579648,0.0034412410746134155,0.024489508563990563,0.0013754951594835947,0.07627771485071684
"Kansas",0.7792321544678085,0.05440857579564062,0.007454460659660876,0.02934806659926402,0.0008803194477067781,0.12867506136023993
"Kentucky",0.8368032154511919,0.07875394615493757,0.001687092082860386,0.015182055192962543,0.0008284708427922815,0.06674721552213395
"Louisiana",0.5797297999143046,0.31052797867137555,0.005973789336553402,0.01729596496011703,0.0006241046349074447,0.0858503101046955
"Maine",0.9134035138667054,0.016803397705822565,0.0045280964135327425,0.011120952519239146,0.0002003775228691738,0.05394366197183098
"Maryland",0.49600777216346825,0.29589400947050115,0.003752872426969861,0.06454736384939246,0.0004142128820854549,0.1393849035934102
"Massachusetts",0.7072930610376981,0.06998884503174875,0.0023462616555116984,0.07077541330587495,0.00037083118814713114,0.14922515874377895
"Michigan",0.7477730908512078,0.13397777468263758,0.004577380715507978,0.03279836046002626,0.00026562935254088903,0.0806078634247284
"Minnesota",0.7835023417318315,0.0680448114363322,0.008896655768921123,0.05060590998508852,0.00041584116827565927,0.08853426489222432
"Mississippi",0.5630719242132654,0.3695758680508498,0.004465955601333586,0.009797929146450546,0.00047807172092266824,0.052610928902501825
"Missouri",0.7833177695851937,0.11131581763178118,0.0027285195957316424,0.02072669734022029,0.001569506726457399,0.0803416891206158
"Montana",0.8567565855556661,0.0054430941026360315,0.05710769453518782,0.008322549702733764,0.00043888622440207406,0.07193299971947478
"Nebraska",0.798804128326034,0.047608510984623056,0.009960171521875144,0.024979017564206254,0.0004745845477712838,0.11817256972526999
"Nevada",0.5317749124482649,0.09417446673034066,0.013191340337472143,0.08724355300859599,0.007189111747851003,0.26642757083731294
"New Hampshire",0.8892623736336583,0.01524970637614117,0.001385616393938739,0.025808636504471006,0.00020391546515063084,0.06808975162664015
"New Jersey",0.569346639315162,0.12960491032166793,0.004521415213752872,0.09913057178097358,0.00028682390544522993,0.1971096394629983
"New Mexico",0.5361675264922426,0.021141306146767735,0.09520940811530332,0.017053864013580673,0.0009688996912193761,0.32945804981156346
"New York",0.5706889489389754,0.14729065080539244,0.005179420600534412,0.08902980530688445,0.00048665730690458577,0.1873236615791831
"North Carolina",0.6325956369339493,0.20580775299264004,0.010475232183517097,0.031541434010751775,0.0005813327286641535,0.11900210689417345
"North Dakota",0.838918036699296,0.03234572938599699,0.04480080476184977,0.015637169424695358,0.0014460564488087036,0.0668522032793532
"Ohio",0.7781995755517827,0.12278981324278439,0.001455942275042445,0.024458149405772497,0.00035899830220713076,0.0727411714770798
"Oklahoma",0.6679039661999469,0.07071780059370353,0.07392885569399739,0.023415247067775313,0.0019287856109489745,0.16210459394382343
"Oregon",0.7661894774589438,0.01926104876247726,0.010917472532916854,0.04450033146877234,0.0040042843223527915,0.1551280932170401
"Pennsylvania",0.7580242559581104,0.10731236283833212,0.0018419897585954645,0.03699526431294036,0.0003552920340353444,0.09547168213144419
"Puerto Rico",0.3521813400186796,0.073047854298776,0.001719879073882908,0.0018541390158776975,0.000051614806075800025,0.5711457872486851
"Rhode Island",0.7233729242173877,0.05830176104877804,0.004432292284798744,0.03482750120963693,0.0006116654646375198,0.17845476870829036
"South Carolina",0.6406275358398702,0.25296205280493866,0.0032272668849767016,0.017212153998737715,0.0006986688459302827,0.08527308897189018
"South Dakota",0.815213402224659,0.02240784524807772,0.0773070105005149,0.0139613920911394,0.0006739368812514318,0.07043641305435758
"Tennessee",0.7347827393903305,0.15872921581201474,0.0024746352747177245,0.018497641023292034,0.0007210051989098322,0.08479504958431625
"Texas",0.5393002095120495,0.12233796554015985,0.006434010451985979,0.053366463902187224,0.001006771186526452,0.27755687358090164
"Utah",0.8069560727547813,0.011338890906853106,0.010167237533734191,0.023681327093321006,0.00945097697819698,0.13840309318892047
"Vermont",0.9141128919774228,0.012223093541458093,0.0019728664990840816,0.016582617077925903,0.00018597327564029046,0.05492255762846878
"Virginia",0.6172888247184521,0.18747144094715565,0.0031436326884204447,0.06856552122437194,0.0006559630378284724,0.12287519491770141
"Washington",0.6783878785373428,0.03955752372438632,0.011653821609150263,0.09399365455019906,0.007028309077145271,0.16937945841482605
"West Virginia",0.9089640563531824,0.03279367427681203,0.0008585230265738655,0.0075283278975152145,0.0002874819273057396,0.0495696176994721
"Wisconsin",0.8132485972552707,0.06142036177745493,0.007355032739196405,0.028834084066245533,0.0003783082881592391,0.08876361587367321
"Wyoming",0.859614565312258,0.008593196161866701,0.020572270297588145,0.008265474911213414,0.0008606994951367891,0.10209379382193698
