State ID,State,County,Health Concern,Prevalence,Poverty Rate,2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,2017 Weighted Annual Food Budget Shortfall
AL,Alabama,Mobile,Obesity among adults aged >=18 Years,38.2,19.87205393809081,17.9%," 74,120 ","$40,045,000.00"
CA,California,Riverside,Obesity among adults aged >=18 Years,26.8,15.083167149318086,9.4%," 221,660 ","$116,261,000.00"
CA,California,Orange,Obesity among adults aged >=18 Years,20.5,11.614613757344948,9.2%," 290,660 ","$170,726,000.00"
CA,California,San Diego,Obesity among adults aged >=18 Years,22.4,12.540432292307758,11.0%," 360,530 ","$207,910,000.00"
FL,Florida,Pinellas,Obesity among adults aged >=18 Years,29.4,13.088289352806527,14.2%," 134,650 ","$78,298,000.00"
FL,Florida,Miami-Dade,Obesity among adults aged >=18 Years,34.2,18.052526542850106,9.5%," 255,680 ","$153,088,000.00"
CA,California,Tulare,Obesity among adults aged >=18 Years,29.2,25.73727472358479,13.2%," 60,660 ","$31,194,000.00"
CO,Colorado,Adams,Obesity among adults aged >=18 Years,27.4,11.652215677882625,8.0%," 39,040 ","$21,078,000.00"
LA,Louisiana,East Baton Rouge,Sleeping less than 7 hours among adults aged >=18 Years,38.6,19.190750640092148,,,
LA,Louisiana,Caddo,Sleeping less than 7 hours among adults aged >=18 Years,38.6,24.082241762724095,,,
OH,Ohio,Lucas,Obesity among adults aged >=18 Years,43.8,20.113301268630533,17.5%," 75,650 ","$35,805,000.00"
PA,Pennsylvania,Northampton,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.1,9.689120526642819,9.2%," 27,730 ","$15,755,000.00"
TX,Texas,Fort Bend,Sleeping less than 7 hours among adults aged >=18 Years,31.8,8.621519538757205,13.9%," 98,800 ","$49,857,000.00"
VA,Virginia,Chesapeake,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,75.2,,,,
WA,Washington,Spokane,Sleeping less than 7 hours among adults aged >=18 Years,32.7,15.049688574999841,14.1%," 69,230 ","$35,421,000.00"
AL,Alabama,Tuscaloosa,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.7,18.915346046358703,16.4%," 33,580 ","$19,213,000.00"
AL,Alabama,Montgomery,Obesity among adults aged >=18 Years,39.0,21.59331321965618,20.7%," 47,040 ","$25,423,000.00"
AL,Alabama,Jefferson,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,70.7,17.548136122442163,17.8%," 117,600 ","$62,512,000.00"
AZ,Arizona,Maricopa,Sleeping less than 7 hours among adults aged >=18 Years,33.6,14.884750952092901,13.7%," 571,060 ","$300,180,000.00"
AL,Alabama,Montgomery,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.2,21.59331321965618,20.7%," 47,040 ","$25,423,000.00"
AZ,Arizona,Maricopa,Sleeping less than 7 hours among adults aged >=18 Years,34.4,14.884750952092901,13.7%," 571,060 ","$300,180,000.00"
AL,Alabama,Madison,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,70.5,14.19716496769819,13.8%," 48,830 ","$25,710,000.00"
AZ,Arizona,Maricopa,Sleeping less than 7 hours among adults aged >=18 Years,37.3,14.884750952092901,13.7%," 571,060 ","$300,180,000.00"
AZ,Arizona,Maricopa,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,67.0,14.884750952092901,13.7%," 571,060 ","$300,180,000.00"
